sk_id,bk_id,name
81,spotify:artist:1anyVhU62p31KFi8MEzkbf,Chance The Rapper
82,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
83,spotify:artist:3TVXtAsR1Inumwj472S9r4,Drake
84,spotify:artist:3tQx1LPXbsYjE9VwN1Peaa,Marc E. Bassy
85,spotify:artist:108ugtkRFQzP9nGgNiyERO,Hundred Waters
86,spotify:artist:5C5mVIHAEIbomEs6nsNWJ9,CVIRO
87,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood
88,spotify:artist:1LOB7jTeEV14pHai6EXSzF,Cash Cash
89,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala
90,spotify:artist:6nxWCVXbOlEVRexSbLsTer,Flume
91,spotify:artist:4QTVePrFu1xuGM9K0kNXkk,Dexys Midnight Runners
92,spotify:artist:536BYVgOnRky0xjsPT96zl,Two Door Cinema Club
93,spotify:artist:70zHrrrPfBkVV44AEhFyyh,Opia
94,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar
95,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino
96,spotify:artist:5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q
97,spotify:artist:46SHBwWsqBkxI7EeeBEQG7,Kodak Black
98,spotify:artist:61pcWUzNqpHNWc21SuHP1J,The Buttress
99,spotify:artist:7DMveApC7UnC2NPfPvlHSU,Cheat Codes
100,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,Kanye West
101,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,Tove Lo
102,spotify:artist:5blFoLWc5SYueRS8wX8mMi,TastyTreat
103,spotify:artist:281VPMiRUYfl6Zs2P5A84f,The Sun King
104,spotify:artist:13NUtXm6qqGiPcRRBNdZsq,Brezy
105,spotify:artist:0YhUSm86okLWldQVwJkLlP,Bad Suns
106,spotify:artist:7zoc6JsY8GWVcl2qFwiKay,Talia Mar
107,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller
108,spotify:artist:2h93pZq0e7k5yf4dywlkpM,Frank Ocean
109,spotify:artist:61lyPtntblHJvA7FMMhi7E,Duke Dumont
110,spotify:artist:0N41KJ4H6bkPAm2tx7VS8C,Anna Wise
111,spotify:artist:7aLdKgvXgDQz0wi5z2PKMV,99 Souls
112,spotify:artist:74gcBzlQza1bSfob90yRhR,City and Colour
113,spotify:artist:3ix4iw2URncSdE7X292bXy,PHOX
114,spotify:artist:5cyHu7tidauRJ9UawaPwG5,Only Real
115,spotify:artist:4VivsO1n4n2Mi2Btyb5gfL,Cosmo's Midnight
116,spotify:artist:6oBm8HB0yfrIc9IHbxs6in,Lykke Li
117,spotify:artist:3KV3p5EY4AvKxOlhGHORLg,Jeremih
118,spotify:artist:27FGXRNruFoOdf1vP8dqcH,Cassie
119,spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,Ludacris
120,spotify:artist:7r8RF1tN2A4CiGEplkp1oP,Ginuwine
121,spotify:artist:1XkoF8ryArs86LZvFOkbyr,Mary J. Blige
122,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,Nelly
123,spotify:artist:5OrB6Jhhrl9y2PK0pSV4VP,Young Money
124,spotify:artist:23zg3TcAtWQy7J6upgbUnj,Usher
125,spotify:artist:3s3ObHATXKGsoQvdcmRbCf,KINGDM
126,spotify:artist:6nS5roXSAGhTGr34W6n7Et,Disclosure
127,spotify:artist:3LTBlb8fqIKJbxTpsNpEkK,Touché
128,spotify:artist:7keGfmQR4X5w0two1xKZ7d,Kungs
129,spotify:artist:00FQb4jTyendYWaN8pK0wa,Lana Del Rey
130,spotify:artist:78xSB1R1x8T6o0QuRaodez,Swell
131,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,alt-J
132,spotify:artist:5xuNBZoM7z1Vv8IQ6uM0p6,JoJo
133,spotify:artist:4IWBUUAFIplrNtaOHcJPRM,James Arthur
134,spotify:artist:4AcHt3JxKy59IX7JNNlZn4,Fitz and The Tantrums
135,spotify:artist:63MQldklfxkjYDoUE4Tppz,M83
136,spotify:artist:3kHVioJpVxlazAAKQ64pC1,Yuna
137,spotify:artist:7xEFii6utZmQ61kX59HmLH,FRENSHIP
138,spotify:artist:07d5etnpjriczFBB8pxmRe,BJ The Chicago Kid
139,spotify:artist:7gAppWoH7pcYmphCVTXkzs,The Vamps
140,spotify:artist:5sHn9ENA6XtnLmOrVQt2BB,Beshken
141,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
142,spotify:artist:2AgbDbAVnc4y7oB2QxISmJ,SŸDE
143,spotify:artist:0Vw76uk7P8yVtTClWyOhac,HONNE
144,spotify:artist:2TM0qnbJH4QPhGMCdPt7fH,Neck Deep
145,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,Rihanna
146,spotify:artist:6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly
147,spotify:artist:6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen
148,spotify:artist:6LEeAFiJF8OuPx747e1wxR,Blood Orange
149,spotify:artist:1SjxgZEAMJd9SMa1ydV56O,Fonkynson
150,spotify:artist:4ULIhLE7QOtxj1MVzJf1D1,Total Giovanni
151,spotify:artist:0c173mlxpT3dSFRgMO8XPh,Big Sean
152,spotify:artist:2FwJwEswyIUAljqgjNSHgP,Snakehips
153,spotify:artist:7sgWBYtJpblXpJl2lU5WVs,Electric Guest
154,spotify:artist:6TcnmlCSxihzWOQJ8k0rNS,Third Eye Blind
155,spotify:artist:2RhgnQNC74QoBlaUvT4MEe,The Growlers
156,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,Glass Animals
157,spotify:artist:7hAolICGSgXJuM6DUpK5rp,Chairlift
158,spotify:artist:50co4Is1HCEo8bhOyUWKpn,Young Thug
159,spotify:artist:3pbC5W51THtgy5XFyyjMI9,Edward Vanzet
160,spotify:artist:2zVANZpVz1kX1Jy8vlLQcH,Tazer
161,spotify:artist:5mnS9jJdKQQcRSqFu5YPVe,Auli'i Cravalho
162,spotify:artist:04gDigrS5kc9YWfZHwBETP,Maroon 5
163,spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ,GoldLink
164,spotify:artist:3GFO1X5LAHduvR314sXnqI,Sam Rui
165,spotify:artist:02ouTNrb27ox8ESPNJPCXX,La Mar
166,spotify:artist:1TtJ8j22Roc24e2Jx3OcU4,Purity Ring
167,spotify:artist:7i9j813KFoSBMldGqlh2Z1,Riton
168,spotify:artist:3Nb8N20WChM0swo5qWTvm8,Tennyson
169,spotify:artist:0tWnElR8nnWIsopg1o3xmg,Dream Koala
170,spotify:artist:31SBgHxc8eqZUk9MdveH42,PREP
171,spotify:artist:246dkjvS1zLTtiykXe5h60,Post Malone
172,spotify:artist:2BccVcXzmwMB2b2mDEPuQH,Cosima
173,spotify:artist:3iOvXCl6edW5Um0fXEBRXy,The xx
174,spotify:artist:46gyXjRIvN1NL1eCB8GBxo,All Time Low
175,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott
176,spotify:artist:50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion
177,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,Aminé
178,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,Migos
179,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,Future
180,spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels
181,spotify:artist:4p75GTNEXwsAAkpweMVtKo,Monte Booker
182,spotify:artist:2xGCGoulmU85qYdpb2Z4xx,Elliot Moss
183,spotify:artist:13BDW3VJHxMYGSPgApZATE,Trés
184,spotify:artist:21mKp7DqtSNHhCAU2ugvUw,ODESZA
185,spotify:artist:1LeVJ5GPeYDOVUjxx1y7Rp,Unknown Mortal Orchestra
186,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,Lorde
187,spotify:artist:1O10apSOoAPjOu6UhUNmeI,SBTRKT
188,spotify:artist:5MmVJVhhYKQ86izuGHzJYA,MIKA
189,spotify:artist:21WS9wngs9AqFckK7yYJPM,PnB Rock
190,spotify:artist:7EWU4FhUJM1sZQgQKdENeT,Hopsin
191,spotify:artist:1KP6TWI40m7p3QBTU6u2xo,BØRNS
192,spotify:artist:5ivCbtrcD5N4rD337xIb2z,MisterWives
193,spotify:artist:6DIS6PRrLS3wbnZsf7vYic,WALK THE MOON
194,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz
195,spotify:artist:5HONdRTLNvBjlD2LirKp0q,Maxwell Young
196,spotify:artist:23fqKkggKUBHNkbKtXEls4,Kygo
197,spotify:artist:0YrtvWJMgSdVrk3SfNjTbx,Death Cab for Cutie
198,spotify:artist:6eouuqqGggqDlYRV63cgPo,Secondhand Serenade
199,spotify:artist:1ztTVMgVpMa4gESKeL60xU,Blah Blah Blah
200,spotify:artist:5WkG4xw3ROjY4Azq86SfIg,Evix
201,spotify:artist:60S3PHPmmVaBxa0zrcAiHq,Hibou
202,spotify:artist:77mJc3M7ZT5oOVM7gNdXim,Her's
203,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,Zedd
204,spotify:artist:6hfwwpXqZPRC9CsKI7qtv1,Alina Baraz
205,spotify:artist:7aFTOGFDEqDtJUCziLVsVC,NAO
206,spotify:artist:2OK16hAFRHoJiFZKeZe8A8,courtship.
207,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator"
208,spotify:artist:7CajNmpbOovFoOoasH2HaY,Calvin Harris
209,spotify:artist:1YYxodrdAUSYhO8ueGQtXs,Lydia
210,spotify:artist:16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes
211,spotify:artist:4frXpPxQQZwbCu3eTGnZEw,Thundercat
212,spotify:artist:6wnSPJpmVKFcn1TpRl5Uli,Vista Kicks
213,spotify:artist:4PWqvc4ydEyoyBhXPOxDyy,Harlem
214,spotify:artist:1GLtl8uqKmnyCWxHmw9tL4,The Kooks
215,spotify:artist:6XXPLVj62lsUtiyDZvTXKz,Killer Bee
216,spotify:artist:5yV1qdnmxyIYiSFB02wpDj,The Postal Service
217,spotify:artist:4M5nCE77Qaxayuhp3fVn4V,Iron & Wine
218,spotify:artist:4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi
219,spotify:artist:46CitWgnWrvF9t70C2p1Me,Daughter
220,spotify:artist:25fqWEebq6PoiGQIHIrdtv,Baauer
221,spotify:artist:6TnZQyc6gSnomokLLI8mya,The Bilinda Butchers
222,spotify:artist:64KEffDW9EtZ1y2vBYgq8T,Marshmello
223,spotify:artist:4AGNJdJiVltImYk1UTLE0K,Sports
224,spotify:artist:2NjfafEappzvGGGDdMRJMP,Azizi Gibson
225,spotify:artist:4qOVAE5WtSf1lQ9Fi6jxXi,Noah Kittinger
226,spotify:artist:5cIc3SBFuBLVxJz58W2tU9,Oh Wonder
227,spotify:artist:29Oq9Nv8zLgu3IvX1tIpbm,Matt Champion
228,spotify:artist:6UdZnouv9YKLMUqtmzmMVJ,Evan George Holland
229,spotify:artist:6jJ0s89eD6GaHleKKya26X,Katy Perry
230,spotify:artist:60d24wfXkVzDSfLS6hyCjZ,Martin Garrix
231,spotify:artist:4td6MWXdOpg7Cnfrus0klp,Cookies
232,spotify:artist:0DK7ZkQ9RydhZnOhI6j6Ck,Amandla Stenberg
233,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates
234,spotify:artist:1Z2KInfSmPOzAIYyiaXeti,Youth Lagoon
235,spotify:artist:5hso1dNofaJLy96BpWYIUu,Javelin
236,spotify:artist:4jLcgJjDGmW0HmvbSf6lEI,How To Dress Well
237,spotify:artist:7ITd48RbLVpUfheE7B86o2,The Decemberists
238,spotify:artist:2kHCIdQ25zETRvYIM2h64R,Sharpshooters
239,spotify:artist:2WQfUqU0HCYbiOA2w9zmBp,PAPA
240,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver
241,spotify:artist:2f88S1uYsEwP0n4x36wvG7,Ultraísta
242,spotify:artist:0epOFNiUfyON9EYx7Tpr6V,The Strokes
243,spotify:artist:7gP3bB2nilZXLfPHJhMdvc,Foster The People
244,spotify:artist:75dQReiBOHN37fQgWQrIAJ,Local Natives
245,spotify:artist:53wZLCnhshZKDRs3uopFBc,Jai Paul
246,spotify:artist:0asVlqTLu3TimnYVyY5Jxi,Tune-Yards
247,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,Daft Punk
248,spotify:artist:6imbHAlhHrFwtsOgqpeBK2,The Middle East
249,spotify:artist:0qzzGu8qpbXYpzgV52wOFT,Bibio
250,spotify:artist:6xS3zemJD9h94iueQvGqVk,Gold Panda
251,spotify:artist:2TWKl87Jnmd5MApKEpVCxA,Blackbird Blackbird
252,spotify:artist:7wGrLSB3v7jkV3fSsjYwtv,Born Ruffians
253,spotify:artist:6l8GHpUQITXRWR0y5jG7cu,Nurses
254,spotify:artist:2AsusXITU8P25dlRNhcAbG,Gotye
255,spotify:artist:1fg65Qx6tRt0aXBfz5I4w5,Discovery
256,spotify:artist:1l9d7B8W0IHy3LqWsxP2SH,Phantogram
257,spotify:artist:5juOkIIy18sFw9L30syt1Z,Washed Out
258,spotify:artist:57anmI1X2hXWPrNagFdzZr,YACHT
259,spotify:artist:4EMtGVFvfCSrEmWaGV0roE,Theophilus London
260,spotify:artist:0dmPX6ovclgOy8WWJaFEUU,Kraftwerk
261,spotify:artist:5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend
262,spotify:artist:7gjAu1qr5C2grXeQFFOGeh,Passion Pit
263,spotify:artist:4MXUO7sVCaFgFjoTI5ox5c,Sufjan Stevens
264,spotify:artist:59oA5WbbQvomJz2BuRG071,Jungle
265,spotify:artist:2Tz1DTzVJ5Gyh8ZwVr6ekU,STRFKR
266,spotify:artist:72XY3HrDdFfZXNZFCT9Zh1,Blitzen Trapper
267,spotify:artist:4l8UbJGiXxbfyDJPvcVH23,A.A. Bondy
268,spotify:artist:2dn0CGCWvtrwZ66bOeLNb2,Thao & The Get Down Stay Down
269,spotify:artist:5yXAFDZNUNyO92l5WTImkO,Billy Bragg
270,spotify:artist:4mLJ3XfOM5FPjSAWdQ2Jk7,Dr. Dog
271,spotify:artist:5yN0nwLpUCaZ2gr67bndCN,Amanda Shires
272,spotify:artist:7EGwUS3c5dXduO4sMyLWC5,Houndmouth
273,spotify:artist:7s4I6rDvTcdBDKElVbtsAN,Bombino
274,spotify:artist:4uSftVc3FPWe6RJuMZNEe9,Andrew Bird
275,spotify:artist:5l2EAkfckNPYZbEDbQtEkO,Pete Yorn
276,spotify:artist:4z3arARDNAphZoOKDGAdR1,White Hex
277,spotify:artist:0K1q0nXQ8is36PzOKAMbNe,Spoon
278,spotify:artist:6uZHP2IZqZWsBPnt2aGisY,Silk Rhodes
279,spotify:artist:7mZgBMpvaBziYQfc9TbJH5,Benjamin Booker
280,spotify:artist:57kIMCLPgkzQlXjblX7XXP,Phosphorescent
281,spotify:artist:066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem
282,spotify:artist:56ZTgzPBDge0OvCGgMO3OY,Beach House
283,spotify:artist:1P6U1dCeHxPui5pIrGmndZ,Air
284,spotify:artist:67tgMwUfnmqzYsNAtnP6YJ,Groove Armada
285,spotify:artist:2Jv5eshHtLycR6R8KQCdc4,Grizzly Bear
286,spotify:artist:34vLhockmYhf3LgznwyNaQ,POLIÇA
287,spotify:artist:4l1cKWYW591xnwEGxpUg3J,Miike Snow
288,spotify:artist:0WbqAlM1WvfUD6dF7omThd,Yelle
289,spotify:artist:6Jrxnp0JgqmeUX1veU591p,Santigold
290,spotify:artist:6WW7gF6rdDASW1brWmFUzM,Sisyphus
291,spotify:artist:2G7QgTep5IsJHGHm1hXygD,Kid Francescoli
292,spotify:artist:7pW390CJdmhakvtcGZIqGP,Tanlines
293,spotify:artist:3HJIB8sYPyxrFGuwvKXSLR,TV On The Radio
294,spotify:artist:53KwLdlmrlCelAZMaLVZqU,James Blake
295,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,Radiohead
296,spotify:artist:37uLId6Z5ZXCx19vuruvv5,Hot Chip
297,spotify:artist:3hXQmVUYo3Mppb16f8wFOx,Brightblack Morning Light
298,spotify:artist:5PbpKlxQE0Ktl5lcNABoFf,Car Seat Headrest
299,spotify:artist:1WrqUPWlHN5FXCRcQgrkas,Lucius
300,spotify:artist:0flT3Kuy6tiznNQa9bfZxd,Maximum Balloon
301,spotify:artist:1UGwqiX4QA7R9hNBwzjavF,Superdrag
302,spotify:artist:3mVWMgLc7bcyCBtL2ymZwK,The Arcs
303,spotify:artist:2Co0mXhhgm8bAISHfj1fje,Caveman
304,spotify:artist:02seUFsFQP7TH4hLrTj77o,Nathaniel Rateliff & The Night Sweats
305,spotify:artist:4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes
306,spotify:artist:0vEsuISMWAKNctLlUAhSZC,Counting Crows
307,spotify:artist:4LG4Bs1Gadht7TCrMytQUO,The Shins
308,spotify:artist:0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart
309,spotify:artist:1moxjboGR7GNWYIMWsRjgG,Florence + The Machine
310,spotify:artist:1xU878Z1QtBldR7ru9owdU,Phoenix
311,spotify:artist:5ltJZgIW3OkY5WvuzX5MYz,Mr Twin Sister
312,spotify:artist:4tOVIRjlWWfR1RrAxyRqTE,Chromatics
313,spotify:artist:4hRBjeemQ2NVkMIcaN9n3g,Eau Claire Memorial Jazz I
314,spotify:artist:0dZXa7OgcOzv3tNUagbKb7,Weekend Affair
315,spotify:artist:1Zp054Jc86WVKCxKEqZGOA,Jack Garratt
316,spotify:artist:3oDbviiivRWhXwIE8hxkVV,The Beach Boys
317,spotify:artist:7HeVXdOdMhLslVputGTZFQ,Timber Timbre
318,spotify:artist:6S2OmqARrzebs0tKUEyXyp,Demi Lovato
319,spotify:artist:57WHJIHrjOE3iAxpihhMnp,Louis Tomlinson
320,spotify:artist:6LuN9FCkKOj5PcnpouEgny,Khalid
321,spotify:artist:1KCSPY1glIKqW2TotWuXOR,P!nk
322,spotify:artist:3JhNCzhSMTxs9WLGJJxWOY,Macklemore
323,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,Logic
324,spotify:artist:5pUo3fmmHT8bhCyHE52hA6,Liam Payne
325,spotify:artist:2cFrymmkijnjDg9SS92EPM,blackbear
326,spotify:artist:1URnnhqYAYcrqrcwql10ft,21 Savage
327,spotify:artist:6LqNN22kT3074XbTVUrhzX,Kesha
328,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez
329,spotify:artist:0QHgL1lAIqAw0HtD7YldmP,DJ Khaled
330,spotify:artist:1HBjj22wzbscIZ9sEb5dyf,Jonas Blue
331,spotify:artist:64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha
332,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert
333,spotify:artist:3QLIkT4rD2FMusaqmkepbq,Rachel Platten
334,spotify:artist:17lzZA2AlOHwCwFALHttmp,2 Chainz
335,spotify:artist:6KZDXtSj0SzGOV705nNeh3,Kid Ink
336,spotify:artist:6Ha4aES39QiVjR0L2lwuwq,Yo Gotti
337,spotify:artist:5NFB7dL4b4ZtcMAk2wCOoi,Slaptop
338,spotify:artist:2x7EATekOPhFGRx3syMGEC,The Knocks
339,spotify:artist:5lHRUCqkQZCIWeX7xG4sYT,Rich Homie Quan
340,spotify:artist:5VsOThWOagH8C8gCvIy13k,Penguin Prison
341,spotify:artist:4KNxadN8IN1sYO7CWAOjoH,Maudlin Strangers
342,spotify:artist:4YXycRbyyAE0wozTk7QMEq,Matoma
343,spotify:artist:6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap
344,spotify:artist:7BMccF0hQFBpP6417k1OtQ,Action Bronson
345,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky
346,spotify:artist:4AA8eXtzqh5ykxtafLaPOi,What So Not
347,spotify:artist:0FVj4JuzTyudaXAwfqDQ20,Autograf
348,spotify:artist:1Zz6NBe8UIZjm88TvehFtx,Le Youth
349,spotify:artist:6ifwtjnyBErm69itobvpyn,Chela
350,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,JAY Z
351,spotify:artist:3koiLjNrgRTNbOwViDipeA,Marvin Gaye
352,spotify:artist:3nUbzTTtP2w4HqvT5y5vkV,The Griswolds
353,spotify:artist:1nWS89L7evreaF9wcCsIyi,Gostan
354,spotify:artist:5Pb27ujIyYb33zBqVysBkj,RÜFÜS
355,spotify:artist:3W9UldYu0xJcaOAw2SUTDI,Panama
356,spotify:artist:4EnEZVjo3w1cwcQYePccay,N.W.A.
357,spotify:artist:4CuipEvwcoQggmCV8jpKF9,Michael Calfan
358,spotify:artist:4aEnNH9PuU1HF3TsZTru54,Caribou
359,spotify:artist:27gtK7m9vYwCyJ04zz0kIb,Lane 8
360,spotify:artist:2mV8aJphiSHYJf43DxL7Gt,Chromeo
361,spotify:artist:5vBSrE1xujD2FXYRarbAXc,Years & Years
362,spotify:artist:5EehXjjMktLuJmbRsM7YfB,Disciples
363,spotify:artist:2OC53Inn0G9QwWM7CM0G5Z,Touch Sensitive
364,spotify:artist:4W48hZAnAHVOC2c8WH8pcq,The Temper Trap
365,spotify:artist:7gUCSrQQOIfNYGIPSSUThO,Tear Council
